player_name,year,target_points,datapoints,points,preseason_rank,passing_attempts,passing_completions,passing_yards,passing_touchdowns,passing_interceptions,passing_two_points,rushing_attempts,rushing_yards,rushing_touchdowns,rushing_two_points,receiving_receptions,receiving_yards,receiving_touchdowns,receiving_two_points,fumble_fumbles,fumble_touchdowns,pat_attempts,pat_made,fg_attempts,fg_made,fifty_yd_fg_made,defensive_sacks,defensive_interceptions,defensive_safeties,defensive_fumble_recoveries,defensive_blocked_kicks,defensive_touchdowns,defensive_points_against,defensive_passing_yards_allowed,defensive_rushing_yards_allowed,defensive_total_yards_allowed
Jeff Reed,2010,,14,7.714285714285714,152,,,,,,,,,,,,,,,,,2.2857142857142856,2.2857142857142856,2.2857142857142856,1.7142857142857142,0.14285714285714285,,,,,,,,,,
Jeff Reed,2011,,0,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Reed,2012,,0,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Reed,2013,,0,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Crosby,2010,8.533333333333333,16,7.25,75,,,,,,,,,,,,,,,,,2.875,2.875,1.75,1.375,0.125,,,,,,,,,,
Mason Crosby,2011,7.3125,15,8.533333333333333,148,,,,,,,,,,,,,,,,,4.266666666666667,4.266666666666667,1.6,1.3333333333333333,0.13333333333333333,,,,,,,,,,
Mason Crosby,2012,9.4375,16,7.3125,62,,,,,,,,,,,,,,,,,3.125,3.125,2.0625,1.3125,0.125,,,,,,,,,,
Mason Crosby,2013,8.466666666666667,16,9.4375,220,,,,,,,,,,,,,,,,,2.625,2.625,2.3125,2.0625,0.3125,,,,,,,,,,
Neil Rackers,2010,8.9375,16,8.125,88,,,,,,,,,,,,,,,,,2.6875,2.6875,1.875,1.6875,0.1875,,,,,,,,,,
Neil Rackers,2011,,16,8.9375,109,,,,,,,,,,,,,,,,,2.5,2.4375,2.375,2.0,0.25,,,,,,,,,,
Neil Rackers,2012,,0,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Rackers,2013,,0,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Folk,2010,6.6875,14,8.0,45,,,,,,,,,,,,,,,,,2.5,2.5,2.357142857142857,1.7857142857142858,0.07142857142857142,,,,,,,,,,
Nick Folk,2011,5.928571428571429,16,6.6875,20,,,,,,,,,,,,,,,,,2.75,2.75,1.5625,1.1875,0.1875,,,,,,,,,,
Nick Folk,2012,7.866666666666666,14,5.928571428571429,14,,,,,,,,,,,,,,,,,2.0,2.0,1.6428571428571428,1.2142857142857142,0.14285714285714285,,,,,,,,,,
