player_name,year,target_points,datapoints,points,preseason_rank,passing_attempts,passing_completions,passing_yards,passing_touchdowns,passing_interceptions,passing_two_points,rushing_attempts,rushing_yards,rushing_touchdowns,rushing_two_points,receiving_receptions,receiving_yards,receiving_touchdowns,receiving_two_points,fumble_fumbles,fumble_touchdowns,pat_attempts,pat_made,fg_attempts,fg_made,fifty_yd_fg_made,defensive_sacks,defensive_interceptions,defensive_safeties,defensive_fumble_recoveries,defensive_blocked_kicks,defensive_touchdowns,defensive_points_against,defensive_passing_yards_allowed,defensive_rushing_yards_allowed,defensive_total_yards_allowed
Marcedes Lewis,2010,3.0,16,7.5625,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.625,43.75,0.625,0.0,0.125,0.0,,,,,,,,,,,,,,,
Marcedes Lewis,2011,6.0,13,3.0,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8461538461538463,35.23076923076923,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Marcedes Lewis,2012,6.222222222222222,12,6.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9166666666666665,43.333333333333336,0.3333333333333333,0.0,0.0,0.0,,,,,,,,,,,,,,,
Marcedes Lewis,2013,6.0,9,6.222222222222222,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,39.22222222222222,0.4444444444444444,0.0,0.0,0.0,,,,,,,,,,,,,,,
Dallas Clark,2010,4.666666666666667,6,8.5,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.166666666666667,57.833333333333336,0.5,0.0,0.0,0.0,,,,,,,,,,,,,,,
Dallas Clark,2011,4.846153846153846,9,4.666666666666667,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,38.333333333333336,0.2222222222222222,0.0,0.1111111111111111,0.0,,,,,,,,,,,,,,,
Dallas Clark,2012,5.222222222222222,13,4.846153846153846,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5384615384615383,33.46153846153846,0.3076923076923077,0.0,0.0,0.0,,,,,,,,,,,,,,,
Dallas Clark,2013,,9,5.222222222222222,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2222222222222223,36.333333333333336,0.3333333333333333,0.0,0.0,0.0,,,,,,,,,,,,,,,
Antonio Gates,2010,9.583333333333334,10,13.4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,78.2,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Antonio Gates,2011,5.933333333333334,12,9.583333333333334,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,64.83333333333333,0.5833333333333334,0.0,0.0,0.0,,,,,,,,,,,,,,,
