player_name,year,target_points,datapoints,points,passing_attempts,passing_completions,passing_yards,passing_touchdowns,passing_interceptions,passing_two_points,rushing_attempts,rushing_yards,rushing_touchdowns,rushing_two_points,receiving_receptions,receiving_yards,receiving_touchdowns,receiving_two_points,fumble_fumbles,fumble_touchdowns
Hakeem Nicks,2010,10.266666666666667,12,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,87.0,0.9166666666666666,0.0,0.0,0.0
Hakeem Nicks,2011,7.454545454545454,15,10.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.066666666666666,79.46666666666667,0.4666666666666667,0.0,0.0,0.0
Hakeem Nicks,2012,6.538461538461538,11,7.454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.818181818181818,62.90909090909091,0.2727272727272727,0.0,0.0,0.0
Hakeem Nicks,2013,4.916666666666667,13,6.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.230769230769231,68.53846153846153,0.0,0.0,0.0,0.0
Chad Johnson,2010,2.9,14,7.142857142857143,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.785714285714286,59.357142857142854,0.2857142857142857,0.0,0.0,0.0
Chad Johnson,2011,,10,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,27.6,0.1,0.0,0.0,0.0
Chad Johnson,2012,,0,,,,,,,,,,,,,,,,,
Chad Johnson,2013,,0,,,,,,,,,,,,,,,,,
Austin Collie,2010,3.923076923076923,8,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.125,81.25,1.0,0.0,0.125,0.0
Austin Collie,2011,,13,3.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.076923076923077,38.92307692307692,0.07692307692307693,0.0,0.0,0.0
Austin Collie,2012,1.6666666666666667,0,,,,,,,,,,,,,,,,,
Austin Collie,2013,,3,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,19.666666666666668,0.0,0.0,0.0,0.0
Miles Austin,2010,9.7,16,9.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,5.8125,0.0625,0.0,4.3125,65.0625,0.4375,0.0,0.0625,0.0
Miles Austin,2011,8.714285714285714,10,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,4.3,57.9,0.7,0.0,0.0,0.0
Miles Austin,2012,2.5,14,8.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.714285714285714,67.35714285714286,0.42857142857142855,0.0,0.07142857142857142,0.0
Miles Austin,2013,5.333333333333333,8,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,29.5,0.0,0.0,0.0,0.0
Wes Welker,2010,12.875,15,8.066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.733333333333333,56.53333333333333,0.4666666666666667,0.0,0.0,0.0
Wes Welker,2011,10.25,16,12.875,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.875,0.0,0.0,7.625,98.0625,0.5625,0.0,0.0,0.0
Wes Welker,2012,10.076923076923077,16,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.25,0.0,0.0,7.375,84.625,0.375,0.0,0.0625,0.0
Wes Welker,2013,4.416666666666667,13,10.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.615384615384615,59.84615384615385,0.7692307692307693,0.0,0.07692307692307693,0.0
Legedu Naanee,2010,3.1333333333333333,7,5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,-0.2857142857142857,0.0,0.0,3.142857142857143,52.42857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
Legedu Naanee,2011,,15,3.1333333333333333,0.06666666666666667,0.06666666666666667,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.933333333333333,31.133333333333333,0.06666666666666667,0.0,0.0,0.0
Legedu Naanee,2012,,0,,,,,,,,,,,,,,,,,
